Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
80,22,3,111,5,Some Random Commen with Id 80
81,22,3,44,8,Some Random Commen with Id 81
82,22,3,17,4,Some Random Commen with Id 82
83,22,3,160,3,Some Random Commen with Id 83
84,22,3,185,5,Some Random Commen with Id 84
85,23,8,41,4,Some Random Commen with Id 85
86,23,8,137,5,Some Random Commen with Id 86
87,23,8,110,3,Some Random Commen with Id 87
88,23,8,170,1,Some Random Commen with Id 88
89,23,8,62,2,Some Random Commen with Id 89
90,23,8,66,1,Some Random Commen with Id 90
91,25,8,182,4,Some Random Commen with Id 91
92,25,8,41,3,Some Random Commen with Id 92
93,25,8,198,8,Some Random Commen with Id 93
94,26,1,101,8,Some Random Commen with Id 94
95,26,1,55,9,Some Random Commen with Id 95
96,26,1,150,8,Some Random Commen with Id 96
97,26,1,139,6,Some Random Commen with Id 97
98,26,1,6,1,Some Random Commen with Id 98
99,26,1,63,9,Some Random Commen with Id 99
100,26,1,57,2,Some Random Commen with Id 100
101,26,1,12,0,Some Random Commen with Id 101
102,26,1,183,5,Some Random Commen with Id 102
103,27,0,110,4,Some Random Commen with Id 103
104,27,0,110,8,Some Random Commen with Id 104
105,27,0,1,2,Some Random Commen with Id 105
106,27,0,169,6,Some Random Commen with Id 106
107,27,0,182,7,Some Random Commen with Id 107
108,27,0,49,1,Some Random Commen with Id 108
109,27,0,6,5,Some Random Commen with Id 109
110,27,0,177,8,Some Random Commen with Id 110
111,27,0,189,5,Some Random Commen with Id 111
112,28,6,57,6,Some Random Commen with Id 112
113,28,6,9,9,Some Random Commen with Id 113
114,28,6,71,5,Some Random Commen with Id 114
115,28,6,137,6,Some Random Commen with Id 115
116,28,6,1,4,Some Random Commen with Id 116
117,28,6,118,2,Some Random Commen with Id 117
118,28,6,91,9,Some Random Commen with Id 118
119,28,6,184,1,Some Random Commen with Id 119
120,30,6,107,2,Some Random Commen with Id 120
121,30,6,2,5,Some Random Commen with Id 121
122,30,6,152,8,Some Random Commen with Id 122
123,30,6,57,5,Some Random Commen with Id 123
124,30,6,122,6,Some Random Commen with Id 124
125,31,9,134,6,Some Random Commen with Id 125
126,31,9,59,5,Some Random Commen with Id 126
127,32,6,7,0,Some Random Commen with Id 127
128,32,6,13,2,Some Random Commen with Id 128
129,32,6,183,5,Some Random Commen with Id 129
130,32,6,185,7,Some Random Commen with Id 130
131,32,6,108,7,Some Random Commen with Id 131
132,32,6,141,2,Some Random Commen with Id 132
133,33,6,9,6,Some Random Commen with Id 133
134,33,6,6,8,Some Random Commen with Id 134
135,33,6,64,1,Some Random Commen with Id 135
136,33,6,132,4,Some Random Commen with Id 136
137,33,6,128,1,Some Random Commen with Id 137
138,34,8,170,1,Some Random Commen with Id 138
139,34,8,32,0,Some Random Commen with Id 139
140,34,8,163,0,Some Random Commen with Id 140
141,35,3,137,0,Some Random Commen with Id 141
142,35,3,60,5,Some Random Commen with Id 142
143,35,3,25,7,Some Random Commen with Id 143
144,35,3,4,3,Some Random Commen with Id 144
145,35,3,165,2,Some Random Commen with Id 145
146,36,1,140,7,Some Random Commen with Id 146
147,38,9,181,1,Some Random Commen with Id 147
148,39,5,147,3,Some Random Commen with Id 148
